"Bleaching","Ocean","Year","Depth","Storms","HumanImpact","Siltation","Dynamite","Poison","Sewage","Industrial","Commercial"
"No","Pacific",2008,8,"no","moderate","occasionally","none","none","moderate","none","none"
"No","Pacific",2008,11,"no","moderate","occasionally","none","none","moderate","none","none"
"No","Pacific",2009,9.7,"no","moderate","occasionally","none","none","moderate","none","none"
"No","Pacific",2012,7,"no","low","never","none","none","low","none","none"
"No","Pacific",2009,2.5,"no","low","often","none","none","low","moderate","low"
"No","Pacific",2009,3,"no","low","often","none","none","low","moderate","low"
"No","Pacific",2009,3,"no","low","often","none","none","low","moderate","low"
"No","Pacific",2009,4,"no","low","often","none","none","low","moderate","low"
"No","Pacific",2009,4,"no","low","often","none","none","low","moderate","low"
"No","Pacific",2009,3,"no","low","often","none","none","low","moderate","low"
"No","Pacific",2009,3,"no","low","often","none","none","low","moderate","low"
"No","Pacific",2009,3,"no","low","often","none","none","low","moderate","low"
"No","Pacific",2007,10,"no","moderate","occasionally","none","none","moderate","none","none"
"No","Pacific",2007,10,"no","moderate","occasionally","none","none","moderate","none","none"
"No","Pacific",2008,5.5,"no","moderate","occasionally","none","none","moderate","none","none"
"No","Pacific",2009,6.4,"no","moderate","occasionally","none","none","moderate","none","none"
"No","Pacific",2012,6,"no","moderate","never","none","none","none","none","moderate"
"No","Pacific",2012,6,"no","low","never","none","none","low","none","none"
"No","Pacific",2012,6,"no","low","never","none","none","none","none","moderate"
"No","Pacific",2012,9,"no","low","never","none","none","none","none","moderate"
"No","Pacific",2004,10,"no","none","never","none","none","none","none","none"
"No","Pacific",2012,7,"no","low","never","none","none","none","none","moderate"
"No","Pacific",2009,5.6,"yes","low","never","none","none","low","none","moderate"
"No","Pacific",2009,8.5,"yes","low","never","none","none","low","none","moderate"
"No","Pacific",2007,6,"yes","low","never","none","none","moderate","none","low"
"No","Pacific",2009,5.1,"yes","low","never","none","none","moderate","none","low"
"No","Pacific",2009,12,"yes","low","never","none","none","low","none","moderate"
"No","Pacific",2009,5.4,"yes","low","never","none","none","low","none","moderate"
"No","Pacific",2009,7.3,"yes","low","never","none","none","low","none","moderate"
"No","Pacific",2004,11.2,"yes","moderate","never","none","none","none","none","none"
"No","Pacific",2012,5,"yes","high","always","none","none","moderate","low","moderate"
"No","Pacific",2012,4,"yes","high","always","none","none","moderate","low","moderate"
"No","Pacific",2012,4.5,"yes","high","always","none","none","moderate","low","moderate"
"No","Pacific",2007,6,"yes","low","never","none","none","low","none","moderate"
"No","Pacific",2009,9,"yes","low","never","none","none","low","none","moderate"
"No","Pacific",2013,3.5,"yes","low","occasionally","none","none","none","none","low"
"No","Pacific",2012,10,"no","low","never","none","none","none","none","moderate"
"No","Pacific",2012,10,"no","low","never","none","none","none","none","moderate"
"No","Pacific",2002,2,"no","low","never","low","none","none","low","none"
"No","Pacific",2002,6,"no","low","never","low","none","none","low","none"
"No","Pacific",2003,2,"no","low","never","low","none","low","low","none"
"No","Pacific",2003,6,"no","low","never","low","none","low","low","none"
"No","Pacific",2002,1.5,"no","low","never","none","low","low","low","none"
"No","Pacific",2002,4.5,"no","low","never","none","low","low","low","none"
"No","Pacific",2003,2,"no","low","never","none","low","low","low","none"
"No","Pacific",2003,5,"no","low","never","none","low","low","low","none"
"No","Pacific",2002,2.5,"no","low","never","none","low","low","low","none"
"No","Pacific",2002,4.5,"no","low","never","none","low","low","low","none"
"No","Pacific",2003,2.5,"no","low","never","none","low","low","low","none"
"No","Pacific",2003,4.5,"no","low","never","none","low","low","low","none"
"No","Pacific",2002,2.5,"no","low","never","none","low","low","low","none"
"No","Pacific",2002,5.5,"no","low","never","none","low","low","low","none"
"No","Pacific",2003,2.5,"no","low","never","none","low","low","low","none"
"No","Pacific",2003,5.5,"no","low","never","none","low","low","low","none"
"No","Pacific",2002,2,"no","low","never","none","low","low","low","none"
"No","Pacific",2002,5,"no","low","never","none","low","low","low","none"
"No","Pacific",2003,1.5,"no","low","never","none","low","low","low","none"
"No","Pacific",2003,4.5,"no","low","never","none","low","low","low","none"
"No","Pacific",2004,7,"yes","moderate","occasionally","none","none","moderate","low","low"
"No","Pacific",2006,9,"no","moderate","often","none","none","moderate","low","none"
"No","Pacific",2007,8,"yes","moderate","occasionally","none","none","low","none","none"
"No","Pacific",2007,7,"yes","moderate","often","none","none","moderate","none","none"
"No","Pacific",2007,8,"yes","moderate","occasionally","none","none","low","none","none"
"No","Pacific",2008,6,"yes","moderate","occasionally","none","none","low","none","none"
"No","Pacific",2008,6,"yes","moderate","occasionally","none","none","low","none","none"
"No","Pacific",2008,8,"yes","moderate","occasionally","none","none","low","none","none"
"No","Pacific",2008,8,"yes","moderate","occasionally","none","none","low","none","none"
"No","Pacific",2008,6.5,"yes","moderate","occasionally","none","none","low","none","none"
"No","Pacific",2009,7.7,"yes","moderate","occasionally","none","none","low","none","none"
"No","Pacific",2012,11,"no","moderate","often","none","none","moderate","low","low"
"No","Pacific",2014,6,"no","none","never","none","none","none","none","none"
"No","Pacific",2012,5,"yes","low","occasionally","none","none","low","none","moderate"
"No","Pacific",2012,11,"yes","low","occasionally","none","none","low","none","moderate"
"No","Pacific",2012,5,"yes","low","never","none","none","low","none","moderate"
"No","Pacific",2012,9,"yes","low","never","none","none","low","none","moderate"
"No","Pacific",2012,4,"yes","low","never","none","none","low","none","high"
"No","Pacific",2012,7,"yes","low","never","none","none","low","none","high"
"No","Pacific",2013,5.5,"no","low","never","none","none","low","none","none"
"No","Pacific",2012,4,"yes","low","never","none","none","low","none","moderate"
"No","Pacific",2012,7,"yes","low","never","none","none","low","none","moderate"
"No","Pacific",2012,5,"yes","low","never","none","none","low","none","moderate"
"No","Pacific",2012,8,"yes","low","never","none","none","low","none","moderate"
"No","Pacific",2013,6,"no","low","never","none","none","low","none","none"
"No","Pacific",2014,6,"no","low","never","none","none","low","none","none"
"No","Pacific",2012,4,"yes","low","never","none","none","low","none","moderate"
"No","Pacific",2012,5,"yes","low","never","none","none","low","none","moderate"
"No","Pacific",2013,6.5,"no","low","never","none","none","low","none","none"
"No","Pacific",2012,4,"yes","none","never","none","none","low","none","moderate"
"No","Pacific",2012,7,"yes","none","never","none","none","low","none","moderate"
"No","Pacific",2013,6,"no","low","never","none","none","low","none","none"
"No","Pacific",2012,4,"no","low","occasionally","none","none","low","none","moderate"
"No","Pacific",2012,4,"yes","low","never","none","none","low","none","moderate"
"No","Pacific",2012,8,"yes","low","never","none","none","low","none","moderate"
"No","Pacific",2012,5,"no","low","never","none","none","low","none","high"
"No","Pacific",2012,11,"no","low","never","none","none","low","none","high"
"No","Pacific",2012,7,"yes","moderate","never","none","none","low","none","high"
"No","Pacific",2012,4,"no","moderate","occasionally","none","none","low","none","moderate"
"No","Pacific",2012,11,"no","moderate","occasionally","none","none","low","none","moderate"
"No","Pacific",2002,2,"yes","low","never","none","low","low","low","none"
"No","Pacific",2002,5,"yes","low","never","none","low","low","low","none"
"No","Pacific",2003,2,"yes","low","never","none","low","low","low","none"
"No","Pacific",2003,5,"yes","low","never","none","low","low","low","none"
"No","Pacific",2006,5,"no","low","never","none","none","low","none","low"
"No","Pacific",2006,10,"no","low","never","none","none","low","none","low"
"No","Pacific",2006,10,"no","low","never","none","none","low","none","low"
"No","Pacific",2009,8,"yes","moderate","never","none","none","moderate","low","low"
"No","Pacific",2009,10,"yes","moderate","never","none","none","moderate","low","low"
"No","Pacific",2008,8.5,"yes","moderate","never","none","none","none","none","none"
"No","Pacific",2010,6.5,"yes","low","occasionally","none","none","low","none","moderate"
"No","Pacific",2009,7.9,"yes","low","occasionally","none","none","low","none","moderate"
"No","Pacific",2009,3,"no","low","occasionally","none","none","moderate","none","moderate"
"No","Pacific",2008,5,"yes","moderate","occasionally","none","none","low","none","moderate"
"No","Pacific",2009,9.8,"yes","low","occasionally","none","none","low","none","moderate"
"No","Pacific",2009,5,"yes","low","occasionally","none","none","low","none","moderate"
"No","Pacific",2009,3.6,"yes","low","occasionally","none","none","low","none","moderate"
"No","Pacific",2009,3.5,"yes","low","occasionally","none","none","low","none","moderate"
"No","Pacific",2009,7,"yes","low","occasionally","none","none","low","none","moderate"
"No","Pacific",2012,9,"yes","moderate","occasionally","none","none","low","none","moderate"
"No","Pacific",2012,10,"yes","moderate","occasionally","none","none","low","none","moderate"
"No","Pacific",2012,5,"yes","low","occasionally","none","none","low","none","moderate"
"No","Pacific",2012,9.5,"yes","low","occasionally","none","none","low","none","moderate"
"No","Pacific",2007,8,"yes","moderate","never","none","none","none","none","none"
"No","Pacific",2007,7.5,"yes","moderate","never","none","none","none","none","none"
"No","Pacific",2008,7,"yes","moderate","never","none","none","none","none","none"
"No","Pacific",2008,7,"yes","moderate","never","none","none","none","none","none"
"No","Pacific",2009,7,"no","high","never","none","none","moderate","low","low"
"No","Pacific",2009,9,"no","high","never","none","none","moderate","low","low"
"No","Pacific",2012,5,"yes","moderate","occasionally","none","none","low","none","moderate"
"No","Pacific",2012,9,"yes","moderate","occasionally","none","none","low","none","moderate"
"No","Pacific",2010,6.5,"yes","low","occasionally","none","none","low","none","moderate"
"No","Pacific",2007,8,"yes","low","occasionally","none","none","none","none","low"
"No","Pacific",2007,7.5,"yes","low","occasionally","none","none","none","none","low"
"No","Pacific",2008,6.5,"yes","low","occasionally","none","none","none","none","low"
"No","Pacific",2008,6.4,"yes","low","occasionally","none","none","none","none","low"
"No","Pacific",2009,8,"yes","low","occasionally","none","none","none","none","low"
"No","Pacific",2014,3,"yes","moderate","never","none","none","low","none","none"
"No","Pacific",2014,4,"yes","moderate","never","none","none","low","none","none"
"No","Pacific",2012,5,"no","moderate","occasionally","none","none","moderate","none","low"
"No","Pacific",2012,9,"no","moderate","occasionally","none","none","moderate","none","low"
"No","Pacific",2008,7,"yes","moderate","occasionally","none","none","low","none","none"
"No","Pacific",2008,7,"yes","moderate","occasionally","none","none","low","none","none"
"No","Pacific",2008,7,"yes","moderate","occasionally","none","none","low","none","none"
"No","Pacific",2008,7,"yes","moderate","occasionally","none","none","low","none","none"
"No","Pacific",2007,8,"yes","low","occasionally","none","none","low","none","none"
"No","Pacific",2007,7,"yes","moderate","occasionally","none","none","low","none","none"
"No","Pacific",2009,10.6,"yes","moderate","occasionally","none","none","low","none","none"
"No","Pacific",2007,6,"yes","moderate","occasionally","none","none","low","none","none"
"No","Pacific",2007,7.3,"yes","moderate","occasionally","none","none","low","none","none"
"No","Pacific",2009,2.1,"yes","moderate","never","none","none","none","none","none"
"No","Pacific",2007,5,"yes","low","occasionally","none","none","low","none","none"
"No","Pacific",2007,6,"yes","low","occasionally","none","none","low","none","none"
"No","Pacific",2008,7,"yes","low","occasionally","none","none","low","none","none"
"No","Pacific",2009,6,"yes","low","occasionally","none","none","low","none","none"
"No","Pacific",2007,4,"yes","high","occasionally","none","none","low","none","none"
"No","Pacific",2008,4.5,"yes","high","occasionally","none","none","low","none","none"
"No","Pacific",2008,6,"yes","high","occasionally","none","none","low","none","none"
"No","Indian",2002,3,"no","low","never","low","none","low","none","none"
"No","Indian",2002,10,"no","low","never","low","none","low","none","none"
"No","East Pacific",2011,6,"yes","moderate","never","none","none","none","none","low"
"No","East Pacific",2011,12,"yes","moderate","never","none","none","none","none","low"
"No","East Pacific",2011,8,"yes","high","often","none","none","moderate","none","low"
"No","Indian",2003,3.5,"yes","moderate","never","none","none","low","low","low"
"No","Indian",2003,6.5,"yes","moderate","never","none","none","low","low","low"
"No","Indian",2004,3.5,"yes","moderate","never","none","none","low","low","low"
"No","Indian",2004,7,"yes","moderate","never","none","none","low","low","low"
"No","Indian",2005,4,"yes","moderate","never","none","none","low","low","low"
"No","Indian",2005,6,"yes","moderate","never","none","none","low","low","low"
"No","Indian",2006,8,"yes","moderate","never","none","none","low","low","low"
"No","Indian",2006,4,"yes","moderate","never","none","none","low","low","low"
"No","Indian",2007,4,"yes","moderate","never","none","none","low","low","low"
"No","Indian",2007,8,"yes","moderate","never","none","none","low","low","low"
"No","Indian",2003,6,"no","low","never","none","none","none","none","low"
"No","Indian",2003,11,"no","low","never","none","none","none","none","low"
"No","Indian",2004,5.5,"no","low","never","none","none","none","none","low"
"No","Indian",2004,10.5,"no","low","never","none","none","none","none","low"
"No","Indian",2005,6,"no","low","never","none","none","none","none","low"
"No","Indian",2005,10,"no","low","never","none","none","none","none","low"
"No","Indian",2006,6,"no","low","never","none","none","none","none","low"
"No","Indian",2006,10,"no","low","never","none","none","none","none","low"
"No","Indian",2007,4,"no","low","never","none","none","none","none","low"
"No","Indian",2007,10,"no","low","never","none","none","none","none","low"
"No","Indian",2002,3,"yes","moderate","never","moderate","moderate","low","none","none"
"No","Indian",2002,10,"yes","moderate","never","moderate","moderate","low","none","none"
"No","Pacific",2002,3,"yes","moderate","never","low","moderate","moderate","low","none"
"No","Pacific",2002,10,"yes","moderate","never","low","moderate","moderate","low","none"
"No","Pacific",2009,4,"no","low","occasionally","none","none","low","none","low"
"No","Pacific",2009,8,"no","low","occasionally","none","none","low","none","low"
"No","Pacific",2009,4,"no","low","occasionally","none","none","none","none","low"
"No","Pacific",2009,8,"no","low","occasionally","none","none","none","none","low"
"No","Indian",2002,3,"no","low","never","low","moderate","moderate","low","none"
"No","Indian",2002,10,"no","low","never","low","moderate","moderate","low","none"
"No","Pacific",2007,5,"no","low","always","low","low","low","low","low"
"No","Pacific",2007,4,"no","low","always","low","low","low","low","low"
"No","Pacific",2007,5,"no","low","always","low","low","low","low","low"
"No","Indian",2001,3,"no","moderate","never","low","low","none","none","none"
"No","Indian",2001,10,"no","moderate","never","low","low","none","none","none"
"No","Indian",2001,3,"yes","moderate","never","moderate","moderate","low","none","none"
"No","Indian",2001,10,"yes","moderate","never","moderate","moderate","low","none","none"
"No","Pacific",2000,3,"no","moderate","never","moderate","low","none","none","none"
"No","Pacific",2000,10,"no","moderate","never","moderate","low","none","none","none"
"No","Indian",2001,3,"yes","moderate","never","moderate","moderate","low","none","none"
"No","Indian",2001,10,"yes","moderate","never","moderate","moderate","low","none","none"
"Yes","Pacific",1998,2.5,"yes","low","never","low","low","none","none","none"
"Yes","Pacific",1998,5.5,"yes","low","never","low","low","none","none","none"
"No","Pacific",1998,7,"yes","low","never","low","low","none","none","none"
"No","Pacific",1999,3,"yes","low","never","none","none","none","none","none"
"No","Pacific",1999,7.5,"yes","low","never","none","none","none","none","none"
"No","Pacific",1999,4,"yes","low","never","none","none","none","low","none"
"No","Pacific",1999,6,"yes","low","never","none","none","none","low","none"
"No","Pacific",2001,3,"yes","low","never","none","none","none","low","none"
"No","Pacific",2001,6.5,"yes","low","never","none","none","none","low","none"
"No","Pacific",2002,3,"yes","low","never","none","none","none","low","none"
"No","Pacific",2002,8,"yes","low","never","none","none","none","low","none"
"No","Pacific",1999,2.5,"yes","low","never","none","none","none","none","none"
"No","Pacific",1999,5,"yes","low","never","none","none","none","none","none"
"No","Pacific",2000,2.2,"yes","low","never","none","none","none","none","none"
"No","Pacific",2000,3.5,"yes","low","never","none","none","none","none","none"
"No","Pacific",2001,1,"yes","low","never","none","none","none","none","none"
"No","Pacific",2001,2,"yes","low","never","none","none","none","none","none"
"No","Pacific",2002,3,"yes","low","never","none","none","none","none","none"
"No","Pacific",2002,4.5,"yes","low","never","none","none","none","none","none"
"No","Pacific",1999,3,"yes","low","never","none","none","none","none","none"
"No","Pacific",1999,7,"yes","low","never","none","none","none","none","none"
"No","Pacific",2003,3.2,"yes","moderate","often","moderate","moderate","low","moderate","high"
"No","Pacific",2003,4.7,"yes","moderate","often","moderate","moderate","low","moderate","high"
"No","Pacific",2003,3,"yes","moderate","often","moderate","moderate","none","none","high"
"No","Pacific",2003,3.5,"yes","moderate","often","moderate","moderate","low","moderate","high"
"No","Pacific",2003,4,"yes","moderate","often","moderate","moderate","low","moderate","high"
"No","Pacific",2003,3,"yes","moderate","often","moderate","moderate","low","moderate","high"
"No","Pacific",2003,5,"yes","moderate","often","moderate","moderate","low","moderate","high"
"No","Pacific",2003,3.5,"yes","moderate","often","moderate","moderate","low","moderate","high"
"No","Pacific",2003,5,"yes","moderate","often","moderate","moderate","low","moderate","high"
"No","Pacific",2003,5,"yes","moderate","often","moderate","moderate","low","moderate","high"
"No","Indian",2001,3,"yes","low","never","low","low","low","low","none"
"No","Indian",2001,10,"yes","low","never","low","low","low","low","none"
"No","Indian",2001,3,"yes","moderate","never","low","low","moderate","none","none"
"No","Indian",2001,10,"yes","moderate","never","low","low","moderate","none","none"
"No","Indian",2001,3,"yes","moderate","never","low","low","moderate","none","none"
